bucket_id,client_id,evaluation_time,flags_kurt,flags_mad,flags_mag_shift,flags_magnitude,flags_skew,flags_spat,flags_spat_shift,flags_spec,flags_temp,flags_temp_shift,is_malicious,metrics_consecutive_anomalies,metrics_eps,metrics_kurt,metrics_mad95,metrics_mag_shift,metrics_magnitude,metrics_phi_s,metrics_phi_t,metrics_skew,metrics_spat_shift,metrics_temp_shift,round,suspicion_score,thresholds_eps,thresholds_mad95,thresholds_phi_s,thresholds_phi_t,timestamp,verdict
10,16,0.002264738082885742,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-0.8173499095509542,4.407953750989945,0.06314872749531004,3496.2747455377053,0.9272437427846612,0.937181421865766,0.67993980018414,0.002691998614736568,0.0004629595963080435,4,0.0,1e-06,31504715989.50676,0.6020708177308833,0.5980202384841156,1764276945.4151661,Clean
11,16,0.0022346973419189453,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.200887710662993,3.23235495648981,0.056034808013057054,3692.1878296648665,0.9300687838625094,0.8922583888831691,0.567304457482326,0.0028250410778482005,0.04492303298259692,4,0.0,1e-06,29950236755.02677,0.6180920874686753,0.6117879906901323,1764276945.4482415,Clean
12,16,0.00225830078125,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.3004450900672941,3.2564210373390385,0.04286673705750979,3533.915784803642,0.9362663004012914,0.9450029396230804,0.48637773074769197,0.0061975165387820885,0.052744550739911245,4,0.0,1e-06,28590906424.389076,0.6324587705582656,0.6269903549896589,1764276945.4813313,Clean
13,16,0.0023636817932128906,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.0569035969374516,2.474985222012845,0.005759578241857064,3513.561920340926,0.9297713506609807,0.9135128047464096,0.6225600992852167,0.006494949740310729,0.03149013487667074,4,0.0,1e-06,27389921665.03551,0.6447981761272558,0.638741126022899,1764276945.514824,Clean
14,16,0.002295970916748047,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.3656349728433044,2.761431029825428,0.022928293523684938,3594.121899364168,0.9412491711267419,0.9420580162161692,0.4481990797915649,0.01147782046576118,0.028545211469759635,4,0.1,1e-06,26319407891.729607,0.6563791593379612,0.6506650478686375,1764276945.548345,Clean
15,16,0.002310037612915039,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.14988423176598,2.0786112306757345,0.018010713223549534,3529.3892005442226,0.9367306693109935,0.965031230917854,0.5601041867484879,0.004518501815748421,0.022973214701684785,4,0.0,1e-06,25357833578.177383,0.6665687745961748,0.6623254298679842,1764276945.581557,Clean
0,16,0.002656221389770508,False,False,True,False,False,True,True,False,True,True,False,1.0,0.0,-0.12183347639495423,6.234109494126379,0.8382008292292155,571.0522459745795,-0.1355388187497061,0.4555327807686421,0.46297396176781636,1.0722694880606995,0.5094984501492119,10,0.5,1e-06,24488280157.22799,0.5047122833360851,0.6214141872178851,1764278143.6581383,Poisoned
1,16,0.001980304718017578,False,False,True,False,False,True,True,False,True,True,False,2.0,0.0,0.034404444777170085,7.731833319356804,1.1046814575794155,1201.8830734128815,-0.5862901859946863,-0.08752697442232547,0.268051642003585,0.4507513672449802,0.5430597551909676,10,0.6,1e-06,23697253071.456528,0.2978299240400277,0.4893948621814134,1764278143.6921716,Poisoned
2,16,0.0025720596313476562,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,-0.226961357431267,6.539789934845162,0.4051858077691407,714.8971094676205,-0.4986868827579138,0.024742514265290692,-0.10480036585690747,0.08760330323677251,0.11226948868761616,10,0.2,1e-06,22973845377.945614,0.16325834000297712,0.41079484616867884,1764278143.7271843,Clean
3,16,0.002026796340942383,False,False,False,False,False,False,True,False,True,True,False,1.0,0.0,-1.1654429605237302,4.079579494638091,0.25029409781516476,893.8316365127379,0.5116175192997081,0.33950312720744863,0.5435323112327239,1.010304402057622,0.31476061294215796,10,0.3,1e-06,22309137089.013958,0.16654823814610953,0.3863908950809976,1764278143.7599766,Poisoned
4,16,0.0020351409912109375,False,False,False,False,False,True,True,False,False,True,False,2.0,0.0,-1.3031076372526713,4.65325476802719,0.46437224365032864,1308.9022390062673,-0.7355366861678251,0.7744881487946205,-0.05255959051732384,1.2471542054675333,0.43498502158717184,10,0.36,1e-06,21695755812.496017,0.02777516444547068,0.39645925653668507,1764278143.791856,Poisoned
5,16,0.0024144649505615234,False,False,False,False,False,True,True,False,False,False,False,0.0,0.0,-0.6797738795914419,5.2963307323417315,0.1607729354328418,1098.46618384645,-0.20700658786553158,0.9047649276050801,0.30368002886741985,0.5285300983022935,0.13027677881045963,10,0.2,1e-06,21127550049.685715,-0.020702649563908326,0.4101057421134188,1764278143.8250153,Clean
6,16,0.0022253990173339844,False,False,True,False,False,True,True,False,False,True,False,1.0,0.0,-0.0975277971315407,2.8125079547433645,0.5750535634547406,466.7892904904437,-0.5372461645635619,0.5680174839266007,0.023238595262620947,0.3302395766980303,0.3367474436784794,10,0.4,1e-06,20599342642.536884,-0.09837933643069563,0.4076027169898493,1764278143.858605,Poisoned
7,16,0.002103567123413086,False,False,True,False,False,False,True,False,True,True,False,2.0,0.0,-0.983074200168899,2.3887938430369724,0.5745540380820325,734.9849622757496,0.5986349447338828,0.2781963763118068,0.4183862795290778,1.1358811092974448,0.28982110761479385,10,0.48,1e-06,20106742198.433826,-0.08229458817379498,0.3824513411411025,1764278143.8907795,Poisoned
8,16,0.002096891403198242,True,False,True,False,False,True,True,False,False,True,False,3.0,0.0,-1.5255583681757896,4.112337778141419,2.0827788785764896,2265.7961177771017,-0.660128014668907,0.6112976051080654,-0.2826865824625135,1.2587629594027898,0.3331012287962586,10,0.65,1e-06,19645997090.932167,-0.16111528712345502,0.3841563153327214,1764278143.923623,Poisoned
9,16,0.0020782947540283203,False,False,True,False,False,False,True,False,True,True,False,4.0,0.0,-1.1003581064507573,2.3232013617006615,0.6444013148190321,805.7141203690346,0.6104260169169681,0.32307975068916134,0.5070287958097112,1.270554031585875,0.2882178544189041,10,0.5599999999999999,1e-06,19213881159.82624,-0.1441115717514297,0.36674765035269713,1764278143.9560382,Poisoned
10,16,0.002141237258911133,False,False,False,False,True,False,False,False,True,True,False,5.0,0.0,-0.7679216207726469,2.3759015224624327,0.1075325761187862,719.073605390363,0.688120673562688,-0.07883418841018261,0.6542296713823337,0.07769465664571995,0.4019139390993439,10,0.44999999999999996,1e-06,18807603311.315693,-0.12600338853307186,0.31254747049327947,1764278143.9888117,Poisoned
11,16,0.002086639404296875,False,False,False,False,False,True,True,False,False,True,False,6.0,0.0,0.1959796211539926,2.639743442031317,0.1611641901709447,603.1846901041625,-0.4165243851513374,0.8244654773339292,-0.09120152835940104,1.1046450587140253,0.9032996657441118,10,0.48,1e-06,18424735345.80041,-0.17021215825035235,0.3233377737396156,1764278144.0221071,Poisoned
12,16,0.002437114715576172,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,-0.21443171968678065,2.767321143254394,0.30582280641455595,787.6523248184176,-0.2948733080000214,0.9273700500849813,0.06761222812899711,0.12165107715131601,0.10290457275105214,10,0.1,1e-06,18063153837.314106,-0.20031059022223519,0.3351683583142451,1764278144.056899,Clean
13,16,0.0021686553955078125,False,False,False,False,False,False,True,False,True,True,False,1.0,0.0,-0.8319181953495449,2.172995936028725,0.10384031133747183,705.8622621834858,0.6058196740794008,-0.09064654490240322,0.5510441681672632,0.9006929820794223,1.0180165949873845,10,0.3,1e-06,17720992951.571568,-0.18466469665915342,0.288044558960814,1764278144.0903082,Poisoned
14,16,0.002104043960571289,False,False,False,False,False,True,True,False,False,True,False,2.0,0.0,0.2942832208686621,2.2141097563053203,0.3837292547809757,435.0022623374194,-0.28252518553230904,0.8335187121392427,-0.03154924683397599,0.8883448596117098,0.9241652570416459,10,0.36,1e-06,17396605857.57993,-0.21083308043598048,0.29841235483851236,1764278144.1241922,Poisoned
15,16,0.0024552345275878906,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,-0.41528059801199735,2.306906220381972,0.9000008903780212,826.5046857584504,-0.16151860259743792,0.9410979898436982,0.08147637097952957,0.12100658293487113,0.10757927770445552,10,0.1,1e-06,17088532947.757648,-0.22706343299047504,0.3096703050251615,1764278144.1593966,Clean
